imdbId,title,tags
tt0118578,albela,"romance govinda aishwaryaraibachchan jackieshroff namratashirodkar deepaksareen boy is loved by a girl, but he doesn't know. boy becomes smitten with another girl, but she loves another."
tt0169102,lagaan: once upon a time in india,"adventure drama musical aamirkhan gracysingh rachelshelley paulblackthorne ashutoshgowariker in 1890s india, an arrogant british commander challenges the harshly taxed residents of champaner to a high-stakes cricket match."
tt0187279,meri biwi ka jawab nahin,"action comedy akshaykumar sridevi gulshangrover laxmikantberde pankajparashar s.m.iqbal ajay gets married to his childhood friend durga; who is illiterate unable to differentiate between the style of these days and that of long time ago. when ajay is given the post as police inspector he re-locates to bombay and later on encourages durga to move into there new home. in this new environment durga will meet with some women who are subjected to injustice by some influential people, the police and corrupt politicians. watch when durga attempts to defend the rights of these women how she will be maligned and what impact it will cause on her marriage life."
tt0222024,hum tumhare hain sanam,"drama romance shahrukhkhan madhuridixit salmankhan atulagnihotri k.s.adiyaman radha and suraj have been friends since childhood. gopal has been in love with radha ever since they spent a few years together as kids. years later, gopal's guardian proposes to radha a marriage with gopal, and she accepts."
tt0227194,one 2 ka 4,"action comedy drama shahrukhkhan juhichawla jackieshroff nirmalpandey shashilalk.nair when a cop's partner is killed in the line of duty, he assumed guardianship of his orphaned children while investigating the murder."
tt0238936,devdas,musical romance shahrukhkhan madhuridixit aishwaryaraibachchan jackieshroff sanjayleelabhansali devdas is a bengali-language film based on the sharat chandra chattopadhyay novel devdas. it is the first bangladeshi version of the story and the first colour film version in bangladesh. it was the first of two versions directed by chashi nazrul islam.
tt0247911,aap mujhe achche lagne lage,"action drama romance hrithikroshan ameeshapatel kirankumar mukeshtiwari vikrambhatt sapna dholakia desires nothing more than to be married to her love rohit, but her conservative family and stubborn father will stop at nothing to make sure she marries the son of a friend of the family."
tt0248126,kabhi khushi kabhie gham...,"drama musical romance amitabhbachchan jayabhaduri shahrukhkhan kajol karanjohar years after his father disowns his adopted brother for marrying a woman of lower social standing, a young man goes on a mission to reunite his family."
tt0248216,na tum jaano na hum,"comedy drama musical saifalikhan hrithikroshan eshadeol aloknath arjunsablok esha and rahul start a letter based friendship that blossoms into love. they don't exchange names or pictures. her parents would like esha to marry akshay who's eager to tie the knot, so esha is forced to make a decision..."
tt0248617,yaadein...,"musical drama romance jackieshroff hrithikroshan kareenakapoor amrishpuri subhashghai when ronit meets isha, both are attracted to each other and fall in love. they want to surprise ronit's parents and raj, and they accordingly decide to share this news with raj, only to find out that raj has been actively involved in trying to get ronit married to monishka rai."
tt0255713,zubeidaa,"adventure biography drama karismakapoor rekha manojbajpayee rajitkapoor shyambenegal zubeidaa, an aspiring muslim actress, marries a hindu prince to become his second wife. her tumultuous relationship with her husband, and her inner demons lead her to a decision which has fatal consequences for them all."
tt0256692,chori chori chupke chupke,"drama musical romance preityzinta salmankhan ranimukerji amrishpuri abbasalibhaiburmawalla mastanalibhaiburmawalla raj and priya are newly married. priya is heavy with children, but due to unexpected circumstances, she loses her child and is unable to conceive again. enter madhoo, a prostitute who is willing to become surrogate mother for the couple. their relationship becomes entangled with love triangle when madhoo falls in love with raj."
tt0265148,main prem ki diwani hoon,"musical drama romance hrithikroshan kareenakapoor abhishekbachchan johnnylever soorajr.barjatya main prem ki diwani hoon is the story of sanjana (kareena kapoor), a girl of today's generation full of life and vibrant ecstasy. she lives life on her own terms and gets very upset when her mother susheela (himani shivpuri), arranges for her to see a boy leading to a marriage prospect."
